名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
阿金代煮,"22.468306, 120.4440604",Facebook,https://www.facebook.com/reel/1206864480910389,https://maps.app.goo.gl/9j3as2JNTGL7wzDC7,熱炒類,屏東縣,東港鎮
阿田香雞翅,"22.4678397, 120.4444445",Facebook,https://www.facebook.com/reel/1206864480910389,https://maps.app.goo.gl/8rM63KLeSSqABcPt5,小吃,屏東縣,東港鎮
東港HOYA熱壓吐司,"22.4670884, 120.4447249",Facebook,https://www.facebook.com/reel/1206864480910389,https://maps.app.goo.gl/uCMtj9QvVgak1qXF7,冰品 / 甜點,屏東縣,東港鎮
樹懶餐廳,"24.6809969, 121.6758966",Facebook,https://www.facebook.com/reel/1421242412574280,https://maps.app.goo.gl/Q8NEpdVDhcr6TvhW7,動物餐廳,宜蘭縣,三星鄉
三媽臭臭鍋 樹新店,"24.9947896, 121.4274579",Facebook,https://www.facebook.com/reel/538982999202649,https://maps.app.goo.gl/tAexa74QDgGPBiCS8,火鍋,新北市,樹林區
幸福廚房阿廷師私房菜,"25.0136797, 121.5174178",Facebook,https://www.facebook.com/reel/518495961328556,https://maps.app.goo.gl/5PqEavvzaBKatB686,小吃,新北市,永和區
永福鎮牛肉麵,"25.0312905, 121.433904",Facebook,https://www.facebook.com/reel/1171530154884638,https://maps.app.goo.gl/tjHvDBwMPLpsWMeB9,牛肉麵,新北市,新莊區
忠誠牛肉麵,"25.1073276, 121.5275642",Facebook,https://www.facebook.com/reel/446392985198507,https://maps.app.goo.gl/vPsATYDZxU6DPerv5,牛肉麵,台北市,士林區
燦津 呷滷肉飯米粉湯,"25.072156, 121.5142778",Facebook,https://www.facebook.com/reel/960792969365906,https://maps.app.goo.gl/o6ph2DGJ7pTFSoFJ9,小吃,台北市,大同區
碧溪步道,"25.11388, 121.5808825",跟著領隊sky玩,https://taiwantour.net/bixi-trail/,https://maps.app.goo.gl/fQWhyTVEVt23aP5o9,健行,台北市,士林區
覓糖,"23.924295809692417, 120.54708335661107",Facebook,https://www.facebook.com/reel/609156901664963,https://maps.app.goo.gl/eyRGm2eyxtMAWhVeA,冰品 / 甜點,彰化縣,永靖鄉
寶杏堂,"24.9815251, 121.5604085",Facebook,https://www.facebook.com/reel/1320605489270689,https://maps.app.goo.gl/KBAKdEtStJcAYHgZ6,羊肉,台北市,文山區
蠔鱻生魚片,"25.0796436, 121.4717729",Facebook,https://www.facebook.com/reel/1831524407643881,https://maps.app.goo.gl/rqFFMcZwMp7MGigD8,生魚片 / 海鮮,新北市,蘆洲區
蠔大一口-一中店,"24.1537236, 120.6867358",Facebook,https://www.facebook.com/reel/1214243020418071,https://maps.app.goo.gl/B4tNi2GbnKz5E8teA,海鮮,台中市,北區
新興高中蛋餅,"24.9749897, 121.2721003",Facebook,https://www.facebook.com/reel/1027896852490470,https://maps.app.goo.gl/Ffb4rxV4goMLszS26,小吃,桃園市,八德區
劍潭山步道,"25.0795139, 121.5248216",Facebook,https://www.facebook.com/reel/1946211369118163,https://maps.app.goo.gl/FHjKfr2qosnnbsV56,健行,台北市,中山區
忠誠牛肉麵,"25.1073276, 121.5275642",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/vPsATYDZxU6DPerv5,牛肉麵,台北市,士林區
