名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
金水冷飲部,"23.03489, 120.3080985",Facebook,https://www.facebook.com/reel/1101496028032705,https://maps.app.goo.gl/NXZ42VG1x5VCsGzk6,飲料,台南市,新化區
東園街無名炒飯(倒閉),"25.0257087, 121.4962359",Facebook,https://www.facebook.com/reel/2524501831079790,https://maps.app.goo.gl/YrRZyVC3napJDMhG9,熱炒,台北市,萬華區
秋菓 ,"24.1697662, 120.6769097",Facebook,https://www.facebook.com/reel/1481009649955892,https://maps.app.goo.gl/sT3YHnRMKi7hW4AB9,冰品 / 甜點,台中市,北區
秦朝老碗麵,"25.0253215, 121.4717617",Facebook,https://www.facebook.com/reel/1270018370993752,https://maps.app.goo.gl/rdHwFRywc54u4sV68,小吃,新北市,板橋區
水連鐵板燒,"25.0135641, 121.4689289",Facebook,https://www.facebook.com/reel/1270018370993752,https://maps.app.goo.gl/KXYCN4bQdpc5JPcAA,鐵板燒,新北市,板橋區
小吉咖哩,"25.0161915, 121.4627018",Facebook,https://www.facebook.com/reel/1270018370993752,https://maps.app.goo.gl/4pfzKyp13F4DkpwH6,咖啡廳,新北市,板橋區
古早味麵茶,"25.0193674, 121.4681698",Facebook,https://www.facebook.com/reel/1270018370993752,https://maps.app.goo.gl/Bh6XvHhLQBzj5NoX9,飲料,新北市,板橋區
瑰季,"25.0217086, 121.4695856",Facebook,https://www.facebook.com/reel/1270018370993752,https://maps.app.goo.gl/vsj2ccmHiTyCW9si7,冰品 / 甜點,新北市,板橋區
陳記鮮魚號,"25.0359546, 121.5005209",Facebook,https://www.facebook.com/reel/1705005020343587,https://maps.app.goo.gl/FxKgYb2z8cMpFitn7,生魚片 / 海鮮,台北市,萬華區
金瑞治水園區,"25.0910515, 121.5828725",Ettoday旅遊雲,https://reurl.cc/Om7q5D,https://maps.app.goo.gl/jGDwFAFCNw6pvdKr5,戶外景點,台北市,內湖區
星夢森林劇場,"24.6807635, 121.7399275",Facebook,https://www.facebook.com/reel/431413932576381,https://maps.app.goo.gl/tEhjukgwXqmPvWaw7,戶外景點,宜蘭縣,冬山鄉
桃園仙境咖啡廳,"24.820143342539797, 121.33912246145442",Facebook,https://www.facebook.com/reel/1735129670613952,https://maps.app.goo.gl/nWkKA82yzW4mx17Y6,咖啡廳,桃園市,復興區
牛室炙燒牛排,"25.01020679768512, 121.45976784703764",Facebook,https://www.facebook.com/reel/2675362912665737,https://maps.app.goo.gl/S1jYiTwH38k51DYw8,牛排,新北市,板橋區
咕咕咕嚕,"25.0515, 121.616116",Facebook,https://www.facebook.com/reel/3870736836534725,https://maps.app.goo.gl/zwcRa4wgVc4nKLjU8,燒烤,台北市,南港區
傑哥冰店 ,"24.6757787, 121.7587442",Facebook,https://www.facebook.com/reel/2183804022014631,https://maps.app.goo.gl/oJ1DNnccTRg2xNP1A,冰品 / 甜點,宜蘭縣,羅東鎮
王記炒飯,"24.6779638, 121.7686856",Facebook,https://www.facebook.com/reel/2183804022014631,https://maps.app.goo.gl/xXvSRpD7RBJgT5oP6,小吃,宜蘭縣,羅東鎮
上讚麵民生店,"24.6781874, 121.76515",Facebook,https://www.facebook.com/reel/2183804022014631,https://maps.app.goo.gl/mQageXw98MqY1YVy9,小吃,宜蘭縣,羅東鎮
小島日和 ,"24.6802781, 121.761564",Facebook,https://www.facebook.com/reel/2183804022014631,https://maps.app.goo.gl/HkTAoHY64EBWMQYX8,冰品 / 甜點,宜蘭縣,羅東鎮
穀王烘焙,"24.68890507328083, 121.7704366855116",Facebook,https://www.facebook.com/reel/2183804022014631,https://maps.app.goo.gl/k5jChxdY73V1AD168,冰品 / 甜點,宜蘭縣,羅東鎮
大樹林滯洪池,"24.975771070002708, 121.31502760950764",Facebook,https://www.facebook.com/reel/1884310155432818,https://maps.app.goo.gl/BsrQGwM3L13pWrZX7,戶外景點,桃園市,桃園區
大湳滯洪池,"24.9567354, 121.3115646",Facebook,https://www.facebook.com/reel/1884310155432818,https://maps.app.goo.gl/PY6oWdecqFyrRFGo6,戶外景點,桃園市,八德區
77巧克力共和國,"24.9417755, 121.2929627",Facebook,https://www.facebook.com/reel/1884310155432818,https://maps.app.goo.gl/JKcmuHbDAyhJatjM6,室內景點,桃園市,八德區
